mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
365.63990926742554,5.1236874149810365,0.29020161628723146,0.02236317995929007,0.9,1.5,0.001,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 1.5, 'learning_rate': 0.001, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.6755036743261702,0.6709861093933402,0.6730607506516078,0.6847853219795801,0.6833879689684549,0.6775447650638307,0.0055471992423864625,10
313.56301259994507,45.59653572858562,0.25680036544799806,0.023290894648909686,0.9,1.5,0.003,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 1.5, 'learning_rate': 0.003, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.679213767164286,0.6738481569835771,0.6763462822920794,0.6876410655056888,0.6874663592383077,0.6809031262367878,0.005689766339660278,9
256.22084107398985,8.005564615445937,0.22906832695007323,0.04500408002693851,0.9,1.5,0.006,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 1.5, 'learning_rate': 0.006, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.6846690866789288,0.6790847865674408,0.6815733022636568,0.6916800838495002,0.6929103544005697,0.6859835227520192,0.005462639525272005,7
225.56059470176697,15.309011864377227,0.21008706092834473,0.01889849200645808,0.9,1.5,0.01,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 1.5, 'learning_rate': 0.01, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.6892713106143366,0.6828590787870594,0.6858882732150691,0.695323959194927,0.697514346636122,0.6901713936895028,0.005533409600547569,6
221.19674491882324,1.4100979258962458,0.22119994163513185,0.01077727910696041,0.9,1.5,0.03,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 1.5, 'learning_rate': 0.03, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.6941020098356332,0.6867448088347027,0.69123215359929,0.700365734762073,0.7022651918722143,0.6949419797807826,0.005739486471071465,3
262.47136745452883,48.96117952497089,0.2507616996765137,0.03156141497790927,0.9,1.5,0.06,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 1.5, 'learning_rate': 0.06, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.6947917867308698,0.6871256030304077,0.6929008017378022,0.702253814348778,0.7028669997223091,0.6959878011140334,0.00593438902966602,1
414.7415844917297,71.71957206250568,0.3325921058654785,0.04993227378960504,0.9,1.5,0.1,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 1.5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.6946359665908466,0.6865887498206399,0.6926156034996223,0.70094222978908,0.7029746343129022,0.6955514368026183,0.00589832978271167,2
459.77530751228335,9.568900445835975,0.3689268112182617,0.036535010020306555,0.9,1.5,0.15,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 1.5, 'learning_rate': 0.15, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.6922968666229525,0.683620221486583,0.6914572998078945,0.6993591594449106,0.7003000769189913,0.6934067248562663,0.006062301076569207,4
385.26571717262266,61.781638804758416,0.28463921546936033,0.028195915584267036,0.9,1.5,0.2,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 1.5, 'learning_rate': 0.2, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.68771850529314,0.6804310385277114,0.6885835429013725,0.6964214729894003,0.6987064461531776,0.6903722011729603,0.0065592902645612355,5
213.42377858161927,49.85254637997935,0.19201507568359374,0.026811649397244123,0.9,1.5,0.3,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 1.5, 'learning_rate': 0.3, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.6823123819722244,0.6748665456117982,0.6842793799782081,0.689760788498277,0.6897893697285328,0.6842016931578081,0.0055289453274066655,8
