mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_lambda,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
399.8339123725891,1.544710661507951,0.32630934715271,0.03700096543188102,0.9,7,0.07,3,3,600,0,0.7,"{'colsample_bytree': 0.9, 'gamma': 7, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'reg_lambda': 0, 'subsample': 0.7}",0.6951134415788934,0.6877964039845349,0.6923368950305231,0.7023026894162662,0.7028275138972302,0.6960753887814896,0.0057933364133167485,4
401.237392950058,4.114689036610581,0.30159697532653806,0.06287566414272354,0.9,7,0.07,3,3,600,0.1,0.7,"{'colsample_bytree': 0.9, 'gamma': 7, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'reg_lambda': 0.1, 'subsample': 0.7}",0.6948525303851502,0.6870573601743843,0.6924220840824981,0.7016701634909263,0.7027481089355156,0.6957500494136948,0.005856011059105889,6
409.7524230003357,1.0637377912264667,0.2665961265563965,0.02297161725196816,0.9,7,0.07,3,3,600,0.8,0.7,"{'colsample_bytree': 0.9, 'gamma': 7, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'reg_lambda': 0.8, 'subsample': 0.7}",0.6950227012723118,0.6874114054287005,0.6921757477007561,0.7018932322801261,0.7029108929449327,0.6958827959253655,0.005861158915945807,5
417.96126160621645,3.2664301392469497,0.31509957313537595,0.029837850593226963,0.9,7,0.07,3,3,600,3.2,0.7,"{'colsample_bytree': 0.9, 'gamma': 7, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'reg_lambda': 3.2, 'subsample': 0.7}",0.6948387888327998,0.6877558113579377,0.692932260156792,0.702157683560989,0.7032520676079927,0.6961873223033022,0.0058148119262439405,2
327.81066217422483,73.30911420072259,0.23561758995056153,0.03888803514174213,0.9,7,0.07,3,3,600,12.8,0.7,"{'colsample_bytree': 0.9, 'gamma': 7, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'reg_lambda': 12.8, 'subsample': 0.7}",0.695873248634324,0.6876610151697424,0.6933314119060893,0.7022477455109233,0.7034676264889049,0.6965162095419968,0.00583341245265141,1
178.31091990470887,4.124004355973156,0.17801308631896973,0.020096213178430293,0.9,7,0.07,3,3,600,51.2,0.7,"{'colsample_bytree': 0.9, 'gamma': 7, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'reg_lambda': 51.2, 'subsample': 0.7}",0.6954017987313137,0.6875420723855621,0.693163883754147,0.7014160869267551,0.7033292119214161,0.6961706107438388,0.005706903617664297,3
189.09173674583434,9.118420526512653,0.19439902305603027,0.024489050331875314,0.9,7,0.07,3,3,600,200,0.7,"{'colsample_bytree': 0.9, 'gamma': 7, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'reg_lambda': 200, 'subsample': 0.7}",0.694404113493207,0.6869151844625865,0.6918229008624015,0.7004971742515378,0.7024389646626998,0.6952156675464864,0.005676932965690887,7
