mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_child_weight,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14.515377283096313,0.9018605380656493,0.07920303344726562,0.006340581826093451,0.6,100,5,3,0.001,1.5,1.0,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 3, 'learning_rate': 0.001, 'gamma': 1.5, 'colsample_bytree': 1.0}",0.672149571643942,0.6693219775992783,0.6716235329772998,0.6831282940189758,0.6803008420233966,0.6753048436525785,0.005393864130747777,29
20.78433289527893,0.2522040961100052,0.08920230865478515,0.010591353030926454,0.8,100,5,5,0.001,1.5,1.0,"{'subsample': 0.8, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 1.5, 'colsample_bytree': 1.0}",0.6813859477602889,0.6754148580551813,0.6785174975539562,0.6879074456419938,0.6896040733267149,0.6825659644676271,0.005421941426302812,27
138.44501023292543,12.634445258956786,0.32959814071655275,0.04145927263760857,0.8,600,10,7,0.1,5,0.6,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 5, 'colsample_bytree': 0.6}",0.6871720749031835,0.678005375291758,0.6842054743591601,0.691092221203321,0.6927013991877761,0.6866353089890397,0.0052407916649995345,19
114.54133324623108,2.168486450104977,0.25120129585266116,0.0268655046667836,0.8,600,5,5,0.001,1,0.6,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 1, 'colsample_bytree': 0.6}",0.6846741583493583,0.6778466099375177,0.6808531731219565,0.6910667969572615,0.6932338846170559,0.6855349245966299,0.005859103940211452,22
134.20634808540345,3.6187594259048597,0.2354058265686035,0.02028486707963734,0.8,600,1,5,0.1,5,1.0,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 1, 'max_depth': 5, 'learning_rate': 0.1, 'gamma': 5, 'colsample_bytree': 1.0}",0.6914445312990019,0.6820135319484943,0.6897526942384048,0.6962336138592349,0.698571943770026,0.6916032630230323,0.005751789337043774,12
28.310150957107545,2.9007160970236745,0.11740055084228515,0.028618216897132488,1.0,100,5,7,0.1,0.5,0.6,"{'subsample': 1.0, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 7, 'learning_rate': 0.1, 'gamma': 0.5, 'colsample_bytree': 0.6}",0.6943593723459166,0.6856466859279844,0.6890741778625087,0.698356877626255,0.7016968876716548,0.6938268002868638,0.005869330455444204,5
133.42858514785766,4.777758908197279,0.25460000038146974,0.01966404166671794,0.8,600,10,5,0.001,2,0.8,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 5, 'learning_rate': 0.001, 'gamma': 2, 'colsample_bytree': 0.8}",0.6841344538660848,0.6776702422298262,0.6809264820090899,0.6907078812810521,0.692584323357387,0.6852046765486881,0.005673807803613076,23
188.28001542091368,2.780892789249527,0.4382019519805908,0.08224221544561736,1.0,600,10,7,0.001,2,0.8,"{'subsample': 1.0, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.001, 'gamma': 2, 'colsample_bytree': 0.8}",0.6867103498291659,0.6801668744705088,0.6834790708661242,0.6916359851133957,0.6955307181371466,0.6875045996832684,0.005516608548634211,18
199.0650722503662,4.106226329188441,0.4014000415802002,0.05739959417500817,0.8,600,10,7,0.001,0.5,0.8,"{'subsample': 0.8, 'n_estimators': 600, 'min_child_weight': 10, 'max_depth': 7, 'learning_rate': 0.001, 'gamma': 0.5, 'colsample_bytree': 0.8}",0.6882793334818647,0.6812339920783219,0.6843444485175731,0.6927874895277881,0.6966336495641071,0.688655782633931,0.005559310271798742,16
19.713599920272827,1.1025459997873197,0.11560068130493165,0.02055764777978963,0.6,100,5,5,0.01,1.5,0.6,"{'subsample': 0.6, 'n_estimators': 100, 'min_child_weight': 5, 'max_depth': 5, 'learning_rate': 0.01, 'gamma': 1.5, 'colsample_bytree': 0.6}",0.6857109360627585,0.6791627058895335,0.681769981141043,0.6920018709154969,0.6939717077266507,0.6865234403470966,0.005708341928100535,20
