mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
172.04977922439576,2.57842124496141,0.1982269287109375,0.011754260831890745,0.6,1.5,0.1,3,1,600,0.8,"{'colsample_bytree': 0.6, 'gamma': 1.5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 600, 'subsample': 0.8}",0.6940574296544453,0.6877466821024623,0.6928071420639175,0.7009337071697834,0.7018194405601159,0.6954728803101448,0.005270735369907701,2
165.73571815490723,4.7922955482366625,0.2177731990814209,0.017956330135525306,0.6,1.5,0.1,3,2,600,0.8,"{'colsample_bytree': 0.6, 'gamma': 1.5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 2, 'n_estimators': 600, 'subsample': 0.8}",0.6935336088108863,0.6867428775031944,0.6926663034277791,0.7007725004144316,0.7021648492960978,0.6951760278904777,0.005661773787731802,8
175.1521209716797,1.5968952951769413,0.2479994297027588,0.06497595586571994,0.6,1.5,0.1,3,3,600,0.8,"{'colsample_bytree': 0.6, 'gamma': 1.5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.8}",0.6941696180750847,0.6875265944967699,0.6929895909897937,0.7008656673511751,0.7022939637595547,0.6955690869344757,0.005414272424816434,1
177.63780369758607,2.1928975206697228,0.20257492065429689,0.016645062730212115,0.6,1.5,0.1,3,4,600,0.8,"{'colsample_bytree': 0.6, 'gamma': 1.5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 4, 'n_estimators': 600, 'subsample': 0.8}",0.6939411452655977,0.6870149922084392,0.692346405600168,0.7007243929274145,0.7026922166968809,0.6953438305397001,0.0057143829223762444,4
176.35150055885316,5.300970405128713,0.20108246803283691,0.016458648890252073,0.6,1.5,0.1,3,5,600,0.8,"{'colsample_bytree': 0.6, 'gamma': 1.5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 5, 'n_estimators': 600, 'subsample': 0.8}",0.694169511589817,0.6866595355964824,0.6925368423150773,0.7007378528223872,0.7019319851896586,0.6952071455026845,0.005605016157535984,7
173.89656720161437,4.309680085798916,0.2134765625,0.028280965245135983,0.6,1.5,0.1,3,6,600,0.8,"{'colsample_bytree': 0.6, 'gamma': 1.5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 6, 'n_estimators': 600, 'subsample': 0.8}",0.6939291074775322,0.6871036106118742,0.6922944503065308,0.7009365397893288,0.7023817972500563,0.6953291010870645,0.005657060597008002,5
170.83947825431824,1.8322463797802633,0.20100002288818358,0.023047378428614592,0.6,1.5,0.1,3,7,600,0.8,"{'colsample_bytree': 0.6, 'gamma': 1.5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 7, 'n_estimators': 600, 'subsample': 0.8}",0.6946710324371759,0.6873354669594367,0.6924806207596595,0.7002124860829613,0.7021322023654106,0.6953663617209287,0.005339808523483959,3
170.1037491798401,1.2485752611482264,0.19800024032592772,0.017157006164454924,0.6,1.5,0.1,3,8,600,0.8,"{'colsample_bytree': 0.6, 'gamma': 1.5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 8, 'n_estimators': 600, 'subsample': 0.8}",0.694033373889527,0.6870444821549301,0.6917557846164246,0.7006949772629045,0.7020446189575786,0.695114647376273,0.005598986798586788,9
178.96971983909606,5.7816763545050245,0.22163019180297852,0.019319600529118918,0.6,1.5,0.1,3,9,600,0.8,"{'colsample_bytree': 0.6, 'gamma': 1.5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 9, 'n_estimators': 600, 'subsample': 0.8}",0.6937503731937176,0.6868154559508473,0.6920599841853663,0.7004377338102732,0.7024101259215763,0.695094734612356,0.005685526595996377,10
162.05928606986998,30.431842241013474,0.19823842048645018,0.020776869215191323,0.6,1.5,0.1,3,10,600,0.8,"{'colsample_bytree': 0.6, 'gamma': 1.5, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 10, 'n_estimators': 600, 'subsample': 0.8}",0.6947740309315633,0.6871227778390604,0.6918448883288028,0.7007213448901239,0.7018893720931758,0.6952704828165452,0.005511585090881915,6
