mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_gamma,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
229.7149305343628,1.5681973837703458,0.22677760124206542,0.03865675527927097,0.9,7,0.07,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 7, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.6956180628810266,0.6874786009087905,0.6926910987530654,0.7016850421717377,0.7033131373007091,0.6961571884030657,0.005820431025270322,1
231.63514823913573,4.761710044551,0.19365248680114747,0.026476676449188778,0.9,8,0.07,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 8, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.6954211592388421,0.6877082535575807,0.6923539377930502,0.7019709807536625,0.7029774099829287,0.6960863482652128,0.005773759025540518,2
230.19912991523742,5.905999071246577,0.2031467914581299,0.03388007030887611,0.9,9,0.07,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 9, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.694802655657391,0.6879024836056573,0.6920923859855157,0.7015011496993622,0.7031945040247835,0.6958986357945419,0.005731404979310005,3
230.56349844932555,4.6487508892508815,0.20569233894348143,0.012976443631395934,0.9,10,0.07,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 10, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.6945654064807152,0.6873680841773314,0.6917357086730032,0.7015080727799994,0.7030013485893666,0.6956357241400832,0.005889761848593123,4
147.7191568851471,47.32419569941906,0.11185569763183593,0.01476974481901198,0.9,12,0.07,3,3,600,0.7,"{'colsample_bytree': 0.9, 'gamma': 12, 'learning_rate': 0.07, 'max_depth': 3, 'min_child_weight': 3, 'n_estimators': 600, 'subsample': 0.7}",0.6943642805738421,0.6865086020391147,0.6909116194227076,0.7006339447111787,0.702099649525233,0.6949036192544152,0.005853592818310219,5
